Playlist,Playlist Description,Source Type,Space Type,Playlist Created,Track Added At,Order,Track ID,Title,Artist,Album,Genre,Release Date,ISRC,Spotify ID,Popularity,Explicit,Tempo (BPM),Energy,Valence,Danceability,Acousticness,Instrumentalness,Liveness,Speechiness,Loudness,Duration (ms),Audio Features (Raw),External Metadata (Raw)
"“Rap Caviar - Single","Sorted: Hip-Hop / Artist: Phila PA (Apple Music source)",Platform,EMS,2026-01-26T12:19:04.000Z,2026-01-26T12:26:33.000Z,,9123,"“Rap Caviar","Phila PA","“Rap Caviar - Single","",,,,,No,,,,,,,,,,212,"","{""itunesId"":1856161849,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/61/6a/5f/616a5f76-d449-049c-cb24-e248ca472049/artwork.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/3f/30/14/3f30141e-ac66-c034-b8c7-edeabde8c0b4/mzaf_12064780695866192142.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/rap-caviar/1856161848?i=1856161849&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,,9613,"Love Me Do","The Beatles","1","",,,,,No,,,,,,,,,,140,"","{""itunesId"":1440833334,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/14/4a/c0/144ac0c0-98d5-7407-152d-09283a184dde/mzaf_4237882947571225844.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/love-me-do/1440833098?i=1440833334&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,1,9614,"From Me to You","The Beatles","1","",,,,,No,,,,,,,,,,116,"","{""itunesId"":1440833534,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/54/ab/89/54ab8914-e510-6344-acc5-46bfd73f0bb4/mzaf_8849018747107007606.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/from-me-to-you/1440833098?i=1440833534&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,2,9615,"She Loves You","The Beatles","1","",,,,,No,,,,,,,,,,141,"","{""itunesId"":1440833539,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/ac/0f/81/ac0f8144-e940-1007-39b4-ea4fbad87615/mzaf_8967812723656049997.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/she-loves-you/1440833098?i=1440833539&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,3,9616,"I Want to Hold Your Hand","The Beatles","1","",,,,,No,,,,,,,,,,146,"","{""itunesId"":1440833542,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c1/72/2b/c1722b2e-7e33-55fa-c379-66fda6795787/mzaf_13962577647625729151.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/i-want-to-hold-your-hand/1440833098?i=1440833542&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,4,9617,"Can't Buy Me Love","The Beatles","1","",,,,,No,,,,,,,,,,131,"","{""itunesId"":1440833543,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6d/1c/27/6d1c277b-9257-1ee0-05b5-f4343df16571/mzaf_14307207403505112990.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/cant-buy-me-love/1440833098?i=1440833543&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,5,9618,"A Hard Day's Night","The Beatles","1","",,,,,No,,,,,,,,,,153,"","{""itunesId"":1440833544,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/60/da/81/60da817a-b241-05aa-2af5-ed3cae157d77/mzaf_10410543199377027865.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/a-hard-days-night/1440833098?i=1440833544&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,6,9619,"I Feel Fine","The Beatles","1","",,,,,No,,,,,,,,,,139,"","{""itunesId"":1440833545,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/91/0e/f5/910ef57e-e6e4-e548-d958-b743be86bd46/mzaf_16074882089668370949.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/i-feel-fine/1440833098?i=1440833545&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,7,9620,"Eight Days a Week","The Beatles","1","",,,,,No,,,,,,,,,,163,"","{""itunesId"":1440833549,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0d/dd/cf/0dddcf9c-1173-c73a-7c6c-a8c40d2d415c/mzaf_3472970577152827143.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/eight-days-a-week/1440833098?i=1440833549&uo=4""}"
"1","Sorted: Rock / Artist: The Beatles (Apple Music source)",Platform,EMS,2026-01-26T12:19:07.000Z,2026-01-26T12:26:53.000Z,8,9621,"Ticket to Ride","The Beatles","1","",,,,,No,,,,,,,,,,190,"","{""itunesId"":1440833554,""artwork"":""https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/f2/98/fb/f298fb48-1e0e-6ad4-4cff-fb824b77f02e/15UMGIM59587.rgb.jpg/600x600bb.jpg"",""audio"":""https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ff/8f/1a/ff8f1a5e-7e63-bcdc-5404-7f05842e0ea5/mzaf_15939184961660463435.plus.aac.p.m4a"",""url"":""https://music.apple.com/us/album/ticket-to-ride/1440833098?i=1440833554&uo=4""}"
